mode,rep,client,server,stream_idx,gbps
per-pair,3,srv03,st01,2,12.947524071429276
per-pair,3,srv03,st01,3,13.2024996255255
per-pair,3,srv03,st01,4,14.109462875608342
per-pair,3,srv03,st01,5,13.710397297966995
per-pair,3,srv03,st01,6,12.985709238372404
per-pair,3,srv03,st01,7,12.543215679104664
per-pair,3,srv03,st01,8,13.070511765874251
per-pair,1,srv03,st02,1,12.387345942004279
per-pair,1,srv03,st02,2,13.15559408431243
per-pair,1,srv03,st02,3,12.912676678077595
per-pair,1,srv03,st02,4,13.633783115111036
per-pair,1,srv03,st02,5,12.77815461084791
per-pair,1,srv03,st02,6,14.810390271961477
per-pair,1,srv03,st02,7,13.59144732974385
per-pair,1,srv03,st02,8,13.33162182347073
per-pair,2,srv03,st02,1,13.137403643493574
per-pair,2,srv03,st02,2,14.511607436852524
per-pair,2,srv03,st02,3,13.138150747449801
per-pair,2,srv03,st02,4,13.32595345831809
per-pair,2,srv03,st02,5,16.287477909836362
per-pair,2,srv03,st02,6,14.320147848724805
per-pair,2,srv03,st02,7,13.569723430468747
per-pair,2,srv03,st02,8,13.4679250551464
per-pair,3,srv03,st02,1,14.02949856801439
per-pair,3,srv03,st02,2,14.224788948309879
per-pair,3,srv03,st02,3,12.9466001056403
per-pair,3,srv03,st02,4,14.17748130747139
per-pair,3,srv03,st02,5,12.953586152712772
per-pair,3,srv03,st02,6,13.488488422337529
per-pair,3,srv03,st02,7,14.235763901559443
per-pair,3,srv03,st02,8,12.80740344539702
per-pair,1,srv03,st03,1,11.998219496529007
per-pair,1,srv03,st03,2,12.275303132269254
per-pair,1,srv03,st03,3,14.21890808646993
per-pair,1,srv03,st03,4,12.00043459276553
per-pair,1,srv03,st03,5,13.07334944107269
per-pair,1,srv03,st03,6,14.82462986601941
per-pair,1,srv03,st03,7,13.877556076687753
per-pair,1,srv03,st03,8,13.030358224174487
per-pair,2,srv03,st03,1,13.259313800501614
per-pair,2,srv03,st03,2,14.0429845309812
per-pair,2,srv03,st03,3,12.60002900800917
per-pair,2,srv03,st03,4,13.059278318564791
per-pair,2,srv03,st03,5,13.466143105184134
per-pair,2,srv03,st03,6,13.268532428150117
per-pair,2,srv03,st03,7,17.924114151357692
