client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv02,st04,100pct,3,500,0.09935799999999997,0.07773529048491133,0.028,0.488,0.072,0.25310000000000005,0.37213999999999986,0.077,0.0
srv02,st05,idle,1,500,0.058184,0.01608002731829502,0.026,0.125,0.055,0.08810000000000001,0.10700999999999998,0.016,0.0
srv02,st05,idle,2,500,0.055616,0.013452676052963288,0.031,0.158,0.053,0.07905000000000001,0.09100999999999998,0.013,0.0
srv02,st05,idle,3,500,0.059546,0.01574648492760052,0.032,0.137,0.055,0.09105,0.11201999999999998,0.015,0.0
srv02,st05,50pct,1,500,0.03802799999999999,0.009516108903186988,0.026,0.102,0.035,0.055,0.06904999999999996,0.009,0.0
srv02,st05,50pct,2,500,0.059704,0.031077709569145025,0.029,0.376,0.05,0.118,0.17008999999999994,0.031,0.0
srv02,st05,50pct,3,500,0.036287999999999994,0.009569127044029124,0.025,0.097,0.033,0.05110000000000002,0.07705999999999995,0.009,0.0
srv02,st05,100pct,1,500,0.048299999999999996,0.021651780508734075,0.028,0.195,0.043,0.08410000000000004,0.15114999999999987,0.021,0.0
srv02,st05,100pct,2,500,0.057045999999999986,0.02887551687762316,0.027,0.312,0.048,0.111,0.16905999999999996,0.028,0.0
srv02,st05,100pct,3,500,0.06507199999999998,0.0365052335995857,0.03,0.412,0.054,0.124,0.19201,0.036,0.0
srv02,st06,idle,1,500,0.051776,0.015419901774702816,0.028,0.244,0.049,0.076,0.09101999999999998,0.015,0.0
srv02,st06,idle,2,500,0.047299999999999995,0.011366106490505313,0.028,0.117,0.045,0.07405,0.08502999999999998,0.011,0.0
srv02,st06,idle,3,500,0.054912,0.01813101551063519,0.029,0.268,0.051,0.08105000000000001,0.09704999999999996,0.018,0.0
srv02,st06,50pct,1,500,0.03692599999999999,0.01909160818281196,0.027,0.439,0.035,0.047050000000000015,0.05807999999999993,0.019,0.0
srv02,st06,50pct,2,500,0.03901599999999999,0.012910658938584696,0.025,0.168,0.036,0.061050000000000014,0.087,0.012,0.0
srv02,st06,50pct,3,500,0.04232,0.013708151839460612,0.027,0.14,0.038,0.069,0.10200999999999998,0.013,0.0
srv02,st06,100pct,1,500,0.107912,0.08117933496185897,0.027,0.557,0.0825,0.2703000000000001,0.39901,0.081,0.0
srv02,st06,100pct,2,500,0.04626799999999999,0.016292054446144975,0.027,0.127,0.041,0.08105000000000001,0.11000999999999998,0.016,0.0
srv02,st06,100pct,3,500,0.10630399999999998,0.09782729651732065,0.031,1.37,0.073,0.27315000000000006,0.3761799999999998,0.097,0.0
srv02,st07,idle,1,500,0.063052,0.020566264572764642,0.027,0.269,0.061,0.09105,0.10402999999999997,0.02,0.0
srv02,st07,idle,2,500,0.055276,0.015762129089271337,0.027,0.11,0.052,0.085,0.10101,0.015,0.0
srv02,st07,idle,3,500,0.060658000000000004,0.015396985755032748,0.033,0.112,0.0575,0.089,0.09804999999999996,0.015,0.0
srv02,st07,50pct,1,500,0.039576,0.011048999265523511,0.027,0.121,0.036,0.061050000000000014,0.08003999999999996,0.011,0.0
srv02,st07,50pct,2,500,0.043237999999999985,0.015952878884056595,0.025,0.188,0.04,0.067,0.09701999999999998,0.015,0.0
srv02,st07,50pct,3,500,0.050932000000000005,0.0244789258674323,0.027,0.292,0.045,0.09,0.14401999999999998,0.024,0.0
srv02,st07,100pct,1,500,0.049146,0.021519732381317547,0.029,0.209,0.043,0.094,0.12802999999999998,0.021,0.0
srv02,st07,100pct,2,500,0.04912,0.028057798918666454,0.028,0.476,0.045,0.07605000000000002,0.10101999999999998,0.028,0.0
